school_name,moe_programme_desc
HWA CHONG INSTITUTION,Art Elective Programme
NANYANG JUNIOR COLLEGE,Art Elective Programme
NATIONAL JUNIOR COLLEGE,Art Elective Programme 
BUKIT PANJANG GOVT. HIGH SCHOOL,Art Elective Programme
CHIJ SECONDARY (TOA PAYOH),Art Elective Programme
HWA CHONG INSTITUTION,Art Elective Programme
NANYANG GIRLS' HIGH SCHOOL,Art Elective Programme
NATIONAL JUNIOR COLLEGE,Art Elective Programme
VICTORIA SCHOOL,Art Elective Programme
ZHONGHUA SECONDARY SCHOOL,Art Elective Programme
CATHOLIC HIGH SCHOOL,Bicultural Studies Programme
CHIJ ST. NICHOLAS GIRLS' SCHOOL,Bicultural Studies Programme
DUNMAN HIGH SCHOOL,Bicultural Studies Programme
HWA CHONG INSTITUTION,Bicultural Studies Programme
NANYANG GIRLS' HIGH SCHOOL,Bicultural Studies Programme
RIVER VALLEY HIGH SCHOOL,Bicultural Studies Programme
SINGAPORE CHINESE GIRLS' SCHOOL,Bicultural Studies Programme
EUNOIA JUNIOR COLLEGE,Bicultural Studies Programme
ANGLICAN HIGH SCHOOL,Language Elective Programme (Chinese)
CHUNG CHENG HIGH SCHOOL (MAIN),Language Elective Programme (Chinese)
DUNMAN HIGH SCHOOL,Language Elective Programme (Chinese)
HWA CHONG INSTITUTION,Language Elective Programme (Chinese)
MARIS STELLA HIGH SCHOOL,Language Elective Programme (Chinese)
NANYANG GIRLS' HIGH SCHOOL,Language Elective Programme (Chinese)
NAN CHIAU HIGH SCHOOL,Language Elective Programme (Chinese)
NAN HUA HIGH SCHOOL,Language Elective Programme (Chinese)
TEMASEK JUNIOR COLLEGE,Language Elective Programme (Chinese)
HWA CHONG INSTITUTION,Language Elective Programme (Chinese)
TEMASEK JUNIOR COLLEGE,Language Elective Programme (Chinese)
NANYANG JUNIOR COLLEGE,Language Elective Programme (Chinese)
JURONG PIONEER JUNIOR COLLEGE,Language Elective Programme (Chinese)
DUNMAN HIGH SCHOOL,Language Elective Programme (Chinese)
ANGLO-CHINESE JUNIOR COLLEGE,Drama Elective Programme
TAMPINES MERIDIAN JUNIOR COLLEGE,Drama Elective Programme
VICTORIA JUNIOR COLLEGE,Drama Elective Programme
ANDERSON SECONDARY SCHOOL,Elective Programme in Malay Language for Secondary School
BUKIT PANJANG GOVT. HIGH SCHOOL,Elective Programme in Malay Language for Secondary School
TANJONG KATONG SECONDARY SCHOOL,Elective Programme in Malay Language for Secondary School
RAFFLES INSTITUTION,Elective Programme in Malay Language for Secondary School
ANGLO-CHINESE JUNIOR COLLEGE,Language Elective Programme (English)
CATHOLIC JUNIOR COLLEGE,Language Elective Programme (English)
RAFFLES INSTITUTION,Language Elective Programme (English)
CHIJ KATONG CONVENT,Enhanced Art Programme
JURONG WEST SECONDARY SCHOOL,Enhanced Art Programme
MERIDIAN SECONDARY SCHOOL,Enhanced Art Programme
NAN CHIAU HIGH SCHOOL,Enhanced Art Programme
NAVAL BASE SECONDARY SCHOOL,Enhanced Art Programme
NEW TOWN SECONDARY SCHOOL,Enhanced Art Programme
NGEE ANN SECONDARY SCHOOL,Enhanced Art Programme
ORCHID PARK SECONDARY SCHOOL,Enhanced Art Programme
ST. ANDREW'S SECONDARY SCHOOL,Enhanced Art Programme
AHMAD IBRAHIM SECONDARY SCHOOL,Enhanced Music Programme
CHUNG CHENG HIGH SCHOOL (MAIN),Enhanced Music Programme
ST. MARGARET'S SCHOOL (SECONDARY),Enhanced Music Programme
YUHUA SECONDARY SCHOOL,Enhanced Music Programme
ANDERSON SECONDARY SCHOOL,Language Elective Programme (Malay)
BUKIT PANJANG GOVT. HIGH SCHOOL,Language Elective Programme (Malay)
TANJONG KATONG SECONDARY SCHOOL,Language Elective Programme (Malay)
JURONG PIONEER JUNIOR COLLEGE,Language Elective Programme (Malay)
NATIONAL JUNIOR COLLEGE,Language Elective Programme (Malay)
RAFFLES INSTITUTION,Language Elective Programme (Malay)
TAMPINES MERIDIAN JUNIOR COLLEGE,Language Elective Programme (Malay)
YISHUN INNOVA JUNIOR COLLEGE,Language Elective Programme (Malay)
ANGLO-CHINESE SCHOOL (INDEPENDENT),Music Elective Programme
CATHOLIC HIGH SCHOOL,Music Elective Programme
CHIJ ST. NICHOLAS GIRLS' SCHOOL,Music Elective Programme
CRESCENT GIRLS' SCHOOL,Music Elective Programme
DUNMAN HIGH SCHOOL,Music Elective Programme
METHODIST GIRLS' SCHOOL (SECONDARY),Music Elective Programme
RAFFLES GIRLS' SCHOOL (SECONDARY),Music Elective Programme
RAFFLES INSTITUTION,Music Elective Programme
TANJONG KATONG GIRLS' SCHOOL,Music Elective Programme
TEMASEK JUNIOR COLLEGE,Music Elective Programme
ANGLO-CHINESE JUNIOR COLLEGE,Music Elective Programme
ANGLO-CHINESE SCHOOL (INDEPENDENT),Music Elective Programme
DUNMAN HIGH SCHOOL,Music Elective Programme
EUNOIA JUNIOR COLLEGE,Music Elective Programme
RAFFLES INSTITUTION,Music Elective Programme
TEMASEK JUNIOR COLLEGE,Music Elective Programme
COMMONWEALTH SECONDARY SCHOOL,Language Elective Programme (Tamil)
RIVERSIDE SECONDARY SCHOOL,Language Elective Programme (Tamil)
YISHUN TOWN SECONDARY SCHOOL,Language Elective Programme (Tamil)
ANDERSON SERANGOON JUNIOR COLLEGE,Language Elective Programme (Tamil)
NATIONAL JUNIOR COLLEGE,Language Elective Programme (Tamil)
ANGLO-CHINESE SCHOOL (INDEPENDENT),Regional Studies Programme
RAFFLES INSTITUTION,Regional Studies Programme
RAFFLES GIRLS' SCHOOL (SECONDARY),Regional Studies Programme
VICTORIA SCHOOL,Regional Studies Programme
CEDAR GIRLS' SECONDARY SCHOOL,Regional Studies Programme
VICTORIA JUNIOR COLLEGE,Regional Studies Programme
ANGLO-CHINESE JUNIOR COLLEGE,Humanities Scholarship and Programme
ANGLO-CHINESE SCHOOL (INDEPENDENT),Humanities Scholarship and Programme
EUNOIA JUNIOR COLLEGE,Humanities Scholarship and Programme
HWA CHONG INSTITUTION,Humanities Scholarship and Programme
NATIONAL JUNIOR COLLEGE,Humanities Scholarship and Programme
RAFFLES INSTITUTION,Humanities Scholarship and Programme
TEMASEK JUNIOR COLLEGE,Humanities Scholarship and Programme
VICTORIA JUNIOR COLLEGE,Humanities Scholarship and Programme
ANDERSON SERANGOON JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ANGLO-CHINESE JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ANGLO-CHINESE SCHOOL (INDEPENDENT),Engineering and Tech Programme and Scholarship
CATHOLIC JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
DUNMAN HIGH SCHOOL,Engineering and Tech Programme and Scholarship
EUNOIA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
HWA CHONG INSTITUTION,Engineering and Tech Programme and Scholarship
JURONG PIONEER JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
NANYANG JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
NATIONAL JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
RAFFLES INSTITUTION,Engineering and Tech Programme and Scholarship
RIVER VALLEY HIGH SCHOOL,Engineering and Tech Programme and Scholarship
ST. ANDREW'S JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ST. JOSEPH'S INSTITUTION,Engineering and Tech Programme and Scholarship
TAMPINES MERIDIAN JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
TEMASEK JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
VICTORIA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
YISHUN INNOVA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
MILLENNIA INSTITUTE,Engineering and Tech Programme and Scholarship
